Orientation Sensor Raw Data Test

Current Temperature: 30 C

Calibration status values: 0=uncalibrated, 3=fully calibrated
time	eul_z	eul_y	eul_x	linA_x	linA_y	linA_z	cal_sys	cal_gyr	cal_acc	cal_mag
1161	0.00	0.00	0.00	0.00	0.00	0.00	
135	0.00	0.00	0.00	0.00	0.00	0.00	
107	0.00	0.00	0.00	0.00	0.00	0.00	
108	0.00	0.00	0.00	0.00	0.00	0.00	
107	0.00	0.00	0.00	0.00	0.00	0.00	
110	34.75	-84.37	-0.63	5.09	-0.41	3.40	
107	25.75	-52.13	-4.69	12.47	-1.30	3.75	
108	28.25	-41.38	-5.06	14.00	-0.93	1.22	
109	27.81	-30.44	-3.56	12.92	-1.28	-2.75	
110	33.13	-31.12	-5.63	13.69	-1.40	-5.91	
111	31.00	-33.25	-7.06	14.26	-1.43	-5.02	
108	29.37	-33.69	-10.19	13.65	-1.80	-4.89	
109	31.50	-30.19	-14.00	12.51	-1.74	-5.56	
109	42.63	-18.19	-14.25	13.93	-1.45	-8.77	
108	57.13	-9.19	-20.12	28.67	4.90	-2.43	
109	44.31	-22.69	5.50	36.79	9.45	-9.94	
110	15.25	-79.62	14.31	31.41	16.70	-21.57	
107	320.19	-63.69	-80.37	-0.12	12.41	-15.73	
108	4.38	-84.12	3.50	-19.51	5.39	-15.98	
107	76.44	-17.56	44.19	4.98	28.10	-32.25	
110	97.50	40.44	7.88	14.16	36.11	-29.52	
111	84.12	46.75	13.19	3.90	22.64	-10.14	
109	81.94	36.56	21.69	8.94	24.70	-7.19	
108	63.44	-5.00	58.94	28.72	39.24	-18.91	
107	343.19	-60.13	-168.19	15.76	42.91	-25.52	
110	323.25	-43.38	-159.94	-9.38	21.45	-11.49	
109	258.19	-13.06	-0.06	-2.38	1.25	6.67	
110	259.06	-0.06	-0.06	3.17	2.98	12.12	
109	284.06	-45.81	125.75	-16.21	26.45	-13.76	
110	336.19	40.69	69.25	1.00	45.47	-17.67	
109	320.44	-0.06	-0.06	19.83	23.08	-0.07	
111	318.00	-0.06	-0.06	4.09	6.44	-1.02	
110	319.19	39.06	-0.06	-0.85	13.50	-1.02	
109	327.50	45.38	63.75	14.59	25.55	11.25	
108	311.56	-3.06	93.12	35.99	42.99	-2.46	
107	240.63	-35.31	177.31	18.25	44.29	-29.05	
110	255.38	-0.06	-0.06	3.31	19.79	-15.35	
111	250.50	-21.37	168.88	3.54	-0.35	7.09	
110	246.25	-22.87	165.94	-4.02	-0.12	15.05	
111	239.88	-24.12	164.50	-10.95	15.25	3.73	
107	336.13	8.56	122.06	10.55	38.74	-21.26	
108	343.13	39.31	138.81	35.21	36.34	-9.57	
107	324.06	-0.06	-0.06	21.47	20.60	14.26	
110	318.63	23.75	130.13	7.16	7.97	6.80	
109	313.94	18.00	130.63	3.91	-0.01	-0.01	
110	299.13	10.69	131.63	5.90	4.81	3.39	
107	282.00	3.00	134.69	8.04	8.05	7.34	
108	95.87	-11.19	148.38	10.27	7.06	2.62	
111	98.25	-27.06	153.50	13.32	25.86	-17.30	
109	261.50	-11.25	51.31	24.04	45.41	-20.13	
110	261.94	-10.13	-5.50	22.34	34.61	0.29	
109	260.50	-11.50	-10.94	9.53	13.38	8.10	
108	262.69	-16.62	0.63	10.88	3.80	0.39	
107	263.88	-26.25	13.69	22.27	13.85	3.73	
110	251.19	-41.31	67.44	38.46	35.31	4.14	
109	140.00	-0.06	-0.06	22.61	30.97	-18.61	
110	137.81	-0.06	-0.06	0.36	7.84	-15.76	
109	135.63	-25.12	171.38	6.05	-1.33	1.76	
109	134.06	-36.63	163.38	12.91	-3.16	0.31	
108	175.94	-55.19	144.31	16.44	3.75	-18.79	
107	238.06	-0.06	-0.06	32.17	27.05	-36.82	
110	259.94	-0.06	-0.06	32.03	37.66	-3.68	
109	252.44	-28.44	-44.38	11.93	17.46	20.81	
112	252.75	-33.75	-29.37	10.44	-2.01	2.57	
107	259.88	-46.06	-19.12	17.73	1.93	6.63	
108	248.44	-58.06	24.06	34.22	25.86	15.82	
111	149.88	-14.56	-0.06	25.14	39.70	-11.98	
109	99.19	-44.56	-148.19	-0.70	18.06	-31.47	
108	101.12	-40.69	-153.38	0.28	-4.60	-16.50	
109	117.87	-48.94	-156.69	7.50	-7.53	-5.89	
108	124.31	-63.00	-148.31	10.51	-5.76	-16.43	
107	176.50	-84.06	5.44	21.76	11.99	-34.11	
108	249.69	-0.06	-0.06	30.46	32.37	-16.80	
109	282.00	-0.06	-0.06	20.88	18.53	3.01	
110	249.38	-43.69	-74.06	7.93	-1.27	-0.01	
111	249.25	-53.44	-69.87	4.88	-5.00	2.28	
108	264.88	-66.25	-73.31	11.22	-3.63	9.73	
109	268.63	-74.75	-109.69	9.15	0.10	7.44	
109	230.31	-74.62	169.31	26.02	19.85	3.21	
108	108.06	-0.06	-0.06	20.72	19.84	-16.87	
107	109.31	-0.06	-0.06	0.22	-1.12	-20.09	
108	116.75	-50.13	-136.81	5.67	-5.73	1.61	
107	116.44	-52.94	-4.38	4.72	-9.46	0.77	
108	112.06	-55.06	-122.50	5.72	-9.79	-4.64	
107	113.94	-58.00	-124.94	7.97	-4.96	-3.81	
108	116.25	-59.00	-130.25	9.98	-5.44	-1.80	
107	114.56	-58.13	-130.31	8.88	-10.62	-3.44	
110	111.37	-56.38	-130.25	7.52	-10.31	-3.32	
109	135.94	-8.75	139.75	3.57	-4.93	-1.17	
108	148.50	-8.19	140.19	0.03	0.44	0.67	
109	160.25	-6.81	140.13	0.01	0.45	0.14	
108	170.69	-5.19	139.31	0.10	0.41	-0.08	
109	179.38	-0.06	-0.06	0.43	0.29	-0.14	
109	187.63	-0.06	-0.06	0.81	0.13	-0.09	
110	195.44	-2.19	137.69	0.78	0.14	0.15	
107	206.56	-1.37	136.63	0.68	0.26	0.45	
